Name,Votes
Nerlens Noel,"1,799"
James Ennis,"1,732"
JaVale McGee,"65,755"
Royce O'Neale,"1,364"
Dakari Johnson,"1,694"
Kyle Anderson,"38,335"
Davis Bertans,"33,674"
Larry Nance Jr.,"33,442"
Willie Reed,"1,217"
Brice Johnson,"1,090"
Nene,"22,502"
Georgios Papagiannis,"20,082"
JaKarr Sampson,"1,020"
Luc Mbah a Moute,"15,856"
Jack Cooley,956
Jerami Grant,"13,536"
Derrick Favors,"12,491"
Tyler Lydon,850
Danilo Gallinari,"12,296"
Brandan Wright,739
Nick Collison,"7,445"
Kevon Looney,"7,166"
Tarik Black,"6,575"
Andrew Bogut,"5,790"
Thomas Bryant,"5,699"
Patrick Patterson,"5,601"
Kenneth Faried,"5,597"
Sam Dekker,"5,274"
Corey Brewer,"4,972"
Chris Boucher,"4,751"
Juan Hernangomez,"4,605"
Richard Jefferson,"4,501"
Maxi Kleber,"4,220"
Josh Huestis,"4,188"
Greg Monroe,"4,007"
Montrezl Harrell,"3,892"
Luol Deng,"3,690"
Jonas Jerebko,"3,505"
Thabo Sefolosha,"3,330"
Meyers Leonard,"3,264"
Harry Giles,"3,200"
Skal Labissiere,"3,107"
Dillon Brooks,"3,090"
Noah Vonleh,"2,968"
Kyle Singler,"2,907"
Alex Len,"2,790"
Wilson Chandler,"2,768"
Mason Plumlee,"2,622"
Darrell Arthur,"2,523"
Troy Williams,"2,386"
Chandler Parsons,"2,353"
JaMychal Green,"2,306"
Anthony Brown,"2,306"
Caleb Swanigan,"2,266"
Salah Mejri,"2,264"
Dante Cunningham,"2,067"
Chinanu Onuaku,"2,012"
Jared Dudley,"1,806"
Wesley Johnson,"1,718"
Tony Bradley,"1,692"
Jake Layman,"1,684"
Solomon Hill,"1,380"
Dorian Finney-Smith,"1,291"
Justin Patton,"1,081"
Jamil Wilson,"1,054"
Eric Griffin,"1,024"
Cheick Diallo,963
Danuel House,962
Erik McCree,923
Josh McRoberts,918
Jarell Martin,917
Alan Williams,823
Ivan Rabb,796
Kyle Collinsworth,685
Alec Peters,646
Jalen Jones,617
Johnathan Motley,608
Vince Hunter,604
Myke Henry,316
Jeff Withey,136
Amile Jefferson,70
Kyrie Irving,"2,170,833"
DeMar DeRozan,"998,999"
Victor Oladipo,"634,495"
John Wall,"542,836"
Bradley Beal,"269,238"
Ben Simmons,"669,397"
Kyle Lowry,"322,036"
Isaiah Thomas,"449,091"
Dwyane Wade,"617,271"
Kemba Walker,"100,632"
Eric Bledsoe,"124,232"
Jaylen Brown,"205,104"
Goran Dragic,"63,387"
Malcolm Brogdon,"39,598"
Spencer Dinwiddie,"30,782"
J.J. Redick,"32,874"
Derrick Rose,"146,481"
D'Angelo Russell,"38,712"
Avery Bradley,"19,318"
J.R. Smith,"49,454"
Lance Stephenson,"21,254"
Kris Dunn,"16,981"
Frank Ntilikina,"28,456"
Zach LaVine,"27,614"
Dennis Schroder,"25,531"
T.J. McConnell,"14,657"
Courtney Lee,"22,226"
Terry Rozier,"17,728"
Ron Baker,"10,238"
Reggie Jackson,"9,937"
Darren Collison,"7,092"
Nicolas Batum,"8,803"
Caris LeVert,"5,623"
Jerian Grant,"5,412"
Tony Snell,"5,144"
Wayne Ellington,"6,247"
Justin Holiday,"5,046"
Elfrid Payton,"4,717"
Tyler Johnson,"5,205"
Allen Crabbe,"4,044"
Cory Joseph,"4,185"
Mario Hezonja,"4,452"
Joe Harris,"3,705"
Luke Kennard,"3,778"
David Nwaba,"2,201"
Langston Galloway,"2,772"
Tim Frazier,"2,130"
Cameron Payne,"1,955"
Kyle Korver,"99,576"
Jeremy Lin,"30,526"
Timothe Luwawu-Cabarrot,"1,722"
Marcus Smart,"29,252"
Sean Kilpatrick,"1,555"
Jose Calderon,"19,280"
Derrick Jones,"1,115"
Matthew Dellavedova,"13,206"
Marco Belinelli,"12,068"
Markelle Fultz,"11,551"
Kadeem Allen,"10,822"
Arron Afflalo,"10,621"
Derrick Walton,862
Dion Waiters,"10,512"
Jarrett Jack,"10,265"
Iman Shumpert,"8,894"
Furkan Korkmaz,"8,823"
Delon Wright,"6,757"
Fred VanVleet,"5,660"
Kent Bazemore,"5,336"
Jeremy Lamb,"5,094"
Tyler Dorsey,"4,754"
Justin Anderson,"4,655"
Shane Larkin,"4,545"
Ryan Arcidiacono,"4,465"
Malik Monk,"4,432"
Treveon Graham,"4,227"
Jason Terry,"3,862"
John Holland,"3,744"
Jabari Bird,"3,744"
D.J. Augustin,"3,499"
Michael Carter-Williams,"3,194"
Jerryd Bayless,"2,853"
DeAndre Liggins,"2,512"
Jamel Artis,"2,489"
Ish Smith,"2,425"
Antonio Blakeney,"2,328"
London Perrantes,"2,282"
Jodie Meeks,"2,131"
Isaiah Taylor,"1,931"
Damyean Dotson,"1,929"
Lorenzo Brown,"1,906"
Malcolm Delaney,"1,850"
Sterling Brown,"1,817"
Joe Young,"1,790"
Glenn Robinson III,"1,775"
Rashad Vaughn,"1,544"
Nik Stauskas,"1,493"
Dwight Buycks,"1,286"
Marcus Paige,"1,262"
Sheldon Mac,"1,234"
Josh Magette,"1,203"
Luis Montero,"1,195"
Terrence Ross,"1,177"
Isaiah Whitehead,"1,091"
Quincy Pondexter,"1,053"
Shelvin Mack,"1,050"
Ramon Sessions,"1,035"
Rodney McGruder,926
Gary Payton II,834
James Young,791
Damien Wilkins,790
Milton Doyle,652
Jacob Pullen,548
Julyan Stone,453
Edmond Sumner,444
Xavier Munford,427
Trey Burke,401
Matt Williams,207
Yakuba Ouattara,195
Kay Felder,185
Reggie Hearn,108
Stephen Curry,"2,379,494"
James Harden,"1,486,830"
Russell Westbrook,"1,241,129"
Klay Thompson,"1,239,768"
Chris Paul,"562,428"
Jimmy Butler,"329,435"
Manu Ginobili,"1,808,860"
Damian Lillard,"439,462"
Devin Booker,"268,041"
Lonzo Ball,"607,961"
CJ McCollum,"96,818"
Tony Parker,"139,487"
Donovan Mitchell,"139,468"
Lou Williams,"70,050"
Eric Gordon,"123,412"
Jordan Clarkson,"188,834"
Andre Roberson,"63,984"
Rajon Rondo,"35,281"
Vince Carter,"49,215"
Patty Mills,"36,836"
J.J. Barea,"32,164"
Alex Abrines,"25,921"
Danny Green,"48,661"
Tyreke Evans,"16,138"
Bogdan Bogdanovic,"33,842"
Ricky Rubio,"16,243"
Seth Curry,"17,834"
Jrue Holiday,"13,508"
Jamal Murray,"13,391"
Jamal Crawford,"15,414"
De'Aaron Fox,"17,127"
Mike Conley,"11,835"
Kentavious Caldwell-Pope,"13,760"
Gary Harris,"13,348"
Jeff Teague,"9,947"
Rodney Hood,"7,742"
Gerald Green,"13,500"
Tony Allen,"7,742"
Tyler Ulis,"4,452"
Tyus Jones,"5,782"
Will Barton,"4,106"
Brandon Paul,"3,256"
Wesley Matthews,"2,624"
George Hill,"2,089"
Briante Weber,"1,963"
Pat Connaughton,"1,775"
Nick Young,"79,650"
Daniel Hamilton,"1,727"
Emmanuel Mudiay,"1,671"
Shaun Livingston,"50,631"
Aaron Brooks,"1,613"
Sindarius Thornwell,"1,354"
Milos Teodosic,"26,374"
Patrick McCaw,"21,266"
Dennis Smith Jr.,"21,205"
Dejounte Murray,"15,023"
Raymond Felton,"14,490"
Bryn Forbes,"13,878"
Wayne Selden,581
Josh Hart,"11,383"
Terrance Ferguson,"11,378"
Austin Rivers,"7,073"
Quinn Cook,"6,902"
Patrick Beverley,"6,725"
Yogi Ferrell,"4,502"
Buddy Hield,"4,002"
Alex Caruso,"3,698"
Joe Johnson,"3,363"
Derrick White,"3,228"
Wade Baldwin,"3,056"
Dante Exum,"2,929"
Shabazz Napier,"2,921"
Tyler Ennis,"2,883"
Vander Blue,"2,765"
Malik Beasley,"2,554"
Marcus Georges-Hunt,"2,505"
Frank Mason III,"2,389"
E'Twaun Moore,"2,338"
Alec Burks,"2,300"
Bobby Brown,"2,221"
Darrun Hilliard,"2,187"
Brandon Knight,"2,127"
Evan Turner,"1,985"
Mario Chalmers,"1,933"
Isaiah Canaan,"1,855"
Demetrius Jackson,"1,832"
Raul Neto,"1,742"
Troy Daniels,"1,694"
Jawun Evans,"1,622"
PJ Dozier,"1,610"
C.J. Williams,"1,522"
Devin Harris,"1,352"
Shabazz Muhammad,"1,303"
Ian Clark,"1,266"
Frank Jackson,"1,144"
Kobi Simmons,"1,055"
Andrew Harrison,972
Mike James,942
Jameer Nelson,893
Torrey Craig,848
Naz Mitrou-Long,846
Tyrone Wallace,749
Ben McLemore,744
Davon Reed,669
Monte Morris,653
Malachi Richardson,601
Garrett Temple,580
C.J. Wilcox,529
Nate Wolters,514
Charles Cooke,446
R.J. Hunter,133
Antonius Cleveland,19
