Name,Votes
LeBron James,"2,638,294"
Giannis Antetokounmpo,"2,530,211"
Joel Embiid,"1,285,587"
Kristaps Porzingis,"1,116,769"
Kevin Love,"771,929"
Al Horford,"384,936"
Andre Drummond,"220,736"
Jayson Tatum,"422,620"
Enes Kanter,"294,926"
Dwight Howard,"186,844"
Khris Middleton,"109,913"
Serge Ibaka,"117,077"
Hassan Whiteside,"85,802"
Aaron Gordon,"82,507"
Tobias Harris,"40,136"
Myles Turner,"52,214"
Michael Beasley,"62,966"
Lauri Markkanen,"43,622"
Jonas Valanciunas,"62,472"
Otto Porter,"36,302"
Gordon Hayward,"79,261"
Jeff Green,"70,349"
Dario Saric,"36,736"
Tim Hardaway,"57,357"
Robert Covington,"31,097"
Cedi Osman,"80,610"
Marcin Gortat,"23,934"
Nikola Mirotic,"32,075"
Tristan Thompson,"48,564"
Bojan Bogdanovic,"16,441"
Kelly Oubre Jr.,"27,847"
Bam Adebayo,"21,028"
Thon Maker,"19,158"
Domantas Sabonis,"27,989"
Markieff Morris,"9,492"
Boban Marjanovic,"13,377"
Thaddeus Young,"10,960"
John Henson,"16,459"
Quincy Acy,"12,948"
Robin Lopez,"10,517"
Josh Richardson,"12,167"
Rondae Hollis-Jefferson,"8,255"
Jabari Parker,"13,373"
Jarrett Allen,"11,705"
James Johnson,"7,535"
Jahlil Okafor,"7,831"
Willy Hernangomez,"8,439"
DeMarre Carroll,"6,425"
Kyle O'Quinn,"6,764"
Michael Kidd-Gilchrist,"9,353"
Doug McDermott,"8,558"
Frank Kaminsky,"6,875"
Bismack Biyombo,"5,841"
Trevor Booker,"5,828"
Dwayne Bacon,"5,716"
Bobby Portis,"4,638"
Ike Anigbogu,"5,391"
Denzel Valentine,"5,049"
Al Jefferson,"4,147"
James Michael McAdoo,"4,564"
Alex Poythress,"3,290"
T.J. Leaf,"3,903"
Semi Ojeleye,"3,673"
Taurean Prince,"3,149"
Amir Johnson,"3,068"
Stanley Johnson,"2,695"
Jae Crowder,"55,405"
Tyler Zeller,"2,105"
Lance Thomas,"2,852"
OG Anunoby,"44,290"
Marvin Williams,"2,393"
Aron Baynes,"31,523"
Anthony Tolliver,"2,180"
Marcus Morris,"25,191"
Tyler Cavanaugh,"1,896"
Ersan Ilyasova,"20,404"
C.J. Miles,"17,766"
Norman Powell,"15,432"
Channing Frye,"14,331"
Jakob Poeltl,"13,464"
Johnny O'Bryant,"1,109"
Nikola Vucevic,"12,734"
Daniel Theis,"12,290"
Eric Moreland,630
Jonathon Simmons,"11,665"
Pascal Siakam,"10,131"
Evan Fournier,"9,177"
Kelly Olynyk,"8,008"
Nicolas Brussino,"7,945"
Joakim Noah,"7,548"
John Collins,"6,509"
Dewayne Dedmon,"6,074"
Mike Scott,"6,020"
Bruno Caboclo,"5,071"
Lucas Nogueira,"4,980"
Udonis Haslem,"4,702"
Cristiano Felicio,"4,693"
Luke Babbitt,"4,245"
Guerschon Yabusele,"4,124"
Ante Zizic,"3,905"
Richaun Holmes,"3,689"
A.J. Hammons,"3,584"
Tomas Satoransky,"3,423"
Cody Zeller,"3,332"
Abdel Nader,"3,258"
Justise Winslow,"3,113"
Marreese Speights,"3,110"
Timofey Mozgov,"3,073"
Paul Zipser,"3,020"
DeAndre' Bembry,"3,000"
Reggie Bullock,"2,864"
Isaiah Hicks,"2,720"
Joel Bolomboy,"2,716"
D.J. Wilson,"2,713"
Mirza Teletovic,"2,614"
Ian Mahinmi,"2,534"
Henry Ellenson,"2,396"
Khem Birch,"2,197"
Jonathan Isaac,"2,080"
Jason Smith,"2,010"
Luke Kornet,"1,840"
Miles Plumlee,"1,577"
Chris McCullough,"1,487"
Alfonzo McKinnie,"1,467"
Mangok Mathiang,"1,268"
Jon Leuer,"1,268"
Okaro White,"1,263"
Jordan Mickey,"1,250"
Devin Robinson,"1,232"
Wesley Iwundu,"1,211"
Malcolm Miller,"1,143"
Adreian Payne,873
Jacob Wiley,794
Mike Muscala,677
Michael Young,612
Ben Moore,267
Andrew White,104
James Webb,56
Mindaugas Kuzminskas,4
Kevin Durant,"2,238,406"
Anthony Davis,"1,088,230"
DeMarcus Cousins,"922,269"
Draymond Green,"1,135,478"
LaMarcus Aldridge,"578,853"
Paul George,"881,287"
Karl-Anthony Towns,"552,376"
Clint Capela,"175,917"
Kawhi Leonard,"741,838"
Carmelo Anthony,"612,021"
Steven Adams,"360,822"
Kyle Kuzma,"524,927"
Blake Griffin,"194,045"
Brandon Ingram,"230,653"
Pau Gasol,"158,330"
Andrew Wiggins,"138,754"
DeAndre Jordan,"120,399"
Marc Gasol,"80,251"
Nikola Jokic,"114,929"
Jordan Bell,"130,915"
Dirk Nowitzki,"98,794"
Zaza Pachulia,"134,204"
Trevor Ariza,"70,852"
Rudy Gay,"51,456"
Ryan Anderson,"33,494"
Omri Casspi,"47,561"
Jusuf Nurkic,"26,211"
David West,"66,991"
Julius Randle,"48,239"
Taj Gibson,"15,417"
Harrison Barnes,"24,636"
Rudy Gobert,"43,741"
Joe Ingles,"18,366"
P.J. Tucker,"21,879"
T.J. Warren,"12,473"
Brook Lopez,"18,907"
Zach Randolph,"12,280"
Cole Aldrich,"8,972"
Al-Farouq Aminu,"11,032"
Kosta Koufos,"13,819"
Tyson Chandler,"8,573"
Alexis Ajinca,"8,007"
Ed Davis,"6,920"
Nemanja Bjelica,"10,690"
Paul Millsap,"10,388"
Willie Cauley-Stein,"7,657"
Josh Jackson,"7,263"
Omer Asik,"6,996"
Marquese Chriss,"5,039"
Joffrey Lauvergne,"5,132"
Maurice Harkless,"4,979"
Dragan Bender,"5,277"
Ekpe Udoh,"3,951"
Matt Costello,"4,598"
Damian Jones,"4,328"
Zach Collins,"3,832"
Ivica Zubac,"4,169"
Trey Lyles,"4,048"
Gorgui Dieng,"3,611"
Darius Miller,"2,707"
Andre Iguodala,"258,417"
Dwight Powell,"2,579"
Justin Jackson,"2,356"
Zhou Qi,"117,623"
Deyonta Davis,"1,367"
