Name,Votes
Ivica Zubac,"3,582"
Meyers Leonard,"3,579"
Omri Casspi,"3,383"
Darrell Arthur,"1,733"
Dragan Bender,"2,609"
Jusuf Nurkic,"2,592"
Jared Dudley,"1,219"
Dante Cunningham,"1,445"
T.J. Warren,"2,275"
Alex Len,"1,297"
Nikola Pekovic,"2,109"
P.J. Tucker,"1,284"
Shabazz Muhammad,"2,094"
Dwight Powell,"1,993"
Nicolas Brussino,"1,740"
Terrence Jones,"1,625"
Dorian Finney-Smith,"1,589"
Festus Ezeli,"1,583"
Donatas Motiejunas,"1,471"
Josh Huestis,"1,452"
Adreian Payne,861
Joel Bolomboy,"1,333"
Jarell Martin,847
Jake Layman,"1,283"
Deyonta Davis,"1,213"
Troy Williams,"1,095"
Anthony Tolliver,"1,083"
Noah Vonleh,"1,047"
Diamond Stone,952
Jordan Hill,881
Cheick Diallo,877
Solomon Hill,855
A.J. Hammons,786
Skal Labissiere,759
Jeff Withey,740
Alonzo Gee,614
Alan Williams,607
Brandan Wright,593
Derrick Jones,505
Kyrie Irving,"1,696,769"
Isaiah Thomas,"755,102"
DeMar DeRozan,"796,112"
Dwyane Wade,"979,566"
Kyle Lowry,"471,697"
John Wall,"301,437"
Derrick Rose,"337,706"
Kemba Walker,"170,299"
Avery Bradley,"97,441"
Bradley Beal,"48,243"
Nicolas Batum,"30,912"
J.R. Smith,"94,403"
Jeremy Lin,"202,502"
Goran Dragic,"26,834"
Malcolm Brogdon,"25,077"
Matthew Dellavedova,"24,701"
Sergio Rodriguez,"18,472"
Kyle Korver,"51,591"
Dennis Schroder,"23,565"
Jeff Teague,"11,422"
Iman Shumpert,"50,970"
Courtney Lee,"11,832"
Rajon Rondo,"42,247"
T.J. McConnell,"10,586"
DeAndre Liggins,"20,042"
Bojan Bogdanovic,"9,757"
Reggie Jackson,"7,749"
Michael Carter-Williams,"9,053"
Jordan McRae,"9,791"
Brandon Jennings,"16,639"
Evan Fournier,"8,882"
Cory Joseph,"14,122"
Monta Ellis,"6,324"
Norman Powell,"13,509"
Kentavious Caldwell-Pope,"6,423"
Marcus Smart,"12,582"
Tony Snell,"6,944"
Kay Felder,"12,425"
D.J. Augustin,"4,831"
Jason Terry,"5,970"
Khris Middleton,"6,347"
Gerald Green,"7,228"
Marco Belinelli,"10,875"
Ron Baker,"10,502"
Sean Kilpatrick,"4,736"
Justin Holiday,"5,642"
Nik Stauskas,"6,660"
Jerryd Bayless,"3,255"
Randy Foye,"2,529"
Elfrid Payton,"4,651"
Denzel Valentine,"3,701"
Gerald Henderson,"3,622"
Tim Hardaway,"6,193"
Tyler Johnson,"5,103"
Dion Waiters,"2,606"
Isaiah Canaan,"2,385"
Mario Hezonja,"1,950"
Jerian Grant,"2,053"
Sasha Vujacic,"3,216"
Glenn Robinson III,"1,705"
Mo Williams,"2,494"
Terry Rozier,"3,190"
Josh Richardson,"2,743"
Joe Harris,"2,692"
Caris LeVert,"2,564"
Trey Burke,"2,529"
Wayne Ellington,"1,567"
Isaiah Whitehead,"1,910"
Jeremy Lamb,"2,497"
Malcolm Delaney,"1,890"
Tomas Satoransky,"1,812"
Aaron Brooks,"2,474"
Demetrius Jackson,"2,046"
Rashad Vaughn,"2,022"
Ish Smith,"1,397"
Michael Gbinije,887
James Young,"1,414"
Jodie Meeks,"1,412"
Delon Wright,"1,360"
Fred VanVleet,"1,089"
Rodney Stuckey,932
Beno Udrih,875
